Rule_ID,Rule,Outcome
77,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Middle_Age AND Family_Size_Group = Couple AND Embarked = Southampton THEN Survived = Yes,Yes
78,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Middle_Age AND Family_Size_Group = Alone AND Pclass = Third THEN Survived = Yes,Yes
79,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Middle_Age AND Family_Size_Group = Alone AND Pclass = First THEN Survived = Yes,Yes
80,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Middle_Age AND Family_Size_Group = Small_Family THEN Survived = No,No
81,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Elderly AND Family_Size_Group = Couple AND Embarked = Cherbourg THEN Survived = No,No
82,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Elderly AND Family_Size_Group = Couple AND Embarked = Southampton THEN Survived = No,No
83,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Elderly AND Family_Size_Group = Small_Family AND Embarked = Southampton THEN Survived = No,No
84,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Elderly AND Family_Size_Group = Small_Family AND Embarked = Cherbourg THEN Survived = No,No
85,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Elderly AND Family_Size_Group = Medium_Family THEN Survived = No,No
86,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Elderly AND Family_Size_Group = Alone THEN Survived = No,No
87,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Young_Adult AND Family_Size_Group = Alone THEN Survived = No,No
88,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Young_Adult AND Family_Size_Group = Couple AND Embarked = Cherbourg THEN Survived = No,No
89,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Young_Adult AND Family_Size_Group = Couple AND Embarked = Southampton THEN Survived = No,No
90,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Young_Adult AND Family_Size_Group = Small_Family THEN Survived = No,No
91,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Senior AND Family_Size_Group = Couple AND Embarked = Southampton THEN Survived = No,No
92,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Senior AND Family_Size_Group = Couple AND Embarked = Cherbourg THEN Survived = Yes,Yes
93,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Senior AND Family_Size_Group = Small_Family THEN Survived = Yes,Yes
94,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Senior AND Family_Size_Group = Alone AND Embarked = Southampton THEN Survived = No,No
95,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Senior AND Family_Size_Group = Alone AND Embarked = Cherbourg THEN Survived = No,No
96,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Adult AND Family_Size_Group = Large_Family THEN Survived = No,No
97,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Adult AND Family_Size_Group = Couple THEN Survived = Yes,Yes
98,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Adult AND Family_Size_Group = Alone AND Sex = male THEN Survived = Yes,Yes
99,IF Title_Group = Mrs AND Pclass = First AND Age_Group = Senior THEN Survived = Yes,Yes
100,IF Title_Group = Mrs AND Pclass = First AND Age_Group = Elderly THEN Survived = Yes,Yes
101,IF Title_Group = Mrs AND Pclass = First AND Age_Group = Young_Adult THEN Survived = Yes,Yes
102,IF Title_Group = Mrs AND Pclass = First AND Age_Group = Child THEN Survived = Yes,Yes
103,IF Title_Group = Mrs AND Pclass = First AND Age_Group = Adult THEN Survived = No,No
104,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Middle_Age AND Family_Size_Group = Small_Family AND Embarked = Southampton THEN Survived = No,No
105,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Middle_Age AND Family_Size_Group = Small_Family AND Embarked = Cherbourg THEN Survived = Yes,Yes
106,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Middle_Age AND Family_Size_Group = Small_Family AND Embarked = Queenstown THEN Survived = No,No
107,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Middle_Age AND Family_Size_Group = Couple AND Fare_Group = Very_High THEN Survived = No,No
108,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Middle_Age AND Family_Size_Group = Couple AND Fare_Group = High THEN Survived = Yes,Yes
109,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Middle_Age AND Family_Size_Group = Medium_Family THEN Survived = No,No
110,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Middle_Age AND Family_Size_Group = Alone THEN Survived = Yes,Yes
111,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Young_Adult AND Fare_Group = Low THEN Survived = Yes,Yes
112,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Young_Adult AND Fare_Group = Very_High AND Embarked = Cherbourg THEN Survived = No,No
113,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Young_Adult AND Fare_Group = Very_High AND Embarked = Southampton THEN Survived = Yes,Yes
114,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Young_Adult AND Fare_Group = Very_High AND Embarked = Queenstown THEN Survived = Yes,Yes
115,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Young_Adult AND Fare_Group = Medium THEN Survived = No,No
116,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Senior AND Fare_Group = Luxury AND Family_Size_Group = Large_Family THEN Survived = No,No
117,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Senior AND Fare_Group = Luxury AND Family_Size_Group = Medium_Family THEN Survived = No,No
118,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Senior AND Fare_Group = High THEN Survived = No,No
119,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Senior AND Fare_Group = Very_High THEN Survived = Yes,Yes
120,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Child AND Fare_Group = Very_High THEN Survived = No,No
121,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Child AND Fare_Group = High THEN Survived = Yes,Yes
122,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Elderly AND Family_Size_Group = Couple THEN Survived = No,No
123,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Elderly AND Family_Size_Group = Medium_Family THEN Survived = No,No
124,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Elderly AND Family_Size_Group = Small_Family THEN Survived = No,No
125,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Elderly AND Family_Size_Group = Alone THEN Survived = Yes,Yes
126,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Elderly AND Family_Size_Group = Large_Family THEN Survived = No,No
127,IF Title_Group = Mrs AND Pclass = Third AND Age_Group = Adult THEN Survived = No,No
128,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Child THEN Survived = Yes,Yes
129,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Elderly AND Family_Size_Group = Alone AND Fare_Group = Very_High THEN Survived = Yes,Yes
130,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Elderly AND Family_Size_Group = Alone AND Fare_Group = High THEN Survived = Yes,Yes
131,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Elderly AND Family_Size_Group = Couple AND Sex = female THEN Survived = Yes,Yes
132,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Elderly AND Family_Size_Group = Small_Family THEN Survived = Yes,Yes
133,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Elderly AND Family_Size_Group = Medium_Family THEN Survived = Yes,Yes
134,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Middle_Age AND Family_Size_Group = Couple AND Embarked = Southampton THEN Survived = Yes,Yes
135,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Middle_Age AND Family_Size_Group = Couple AND Embarked = Cherbourg THEN Survived = Yes,Yes
136,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Middle_Age AND Family_Size_Group = Alone THEN Survived = Yes,Yes
137,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Middle_Age AND Family_Size_Group = Small_Family THEN Survived = Yes,Yes
138,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Senior THEN Survived = Yes,Yes
139,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Young_Adult THEN Survived = Yes,Yes
140,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Adult AND Family_Size_Group = Small_Family THEN Survived = No,No
141,IF Title_Group = Mrs AND Pclass = Second AND Age_Group = Adult AND Family_Size_Group = Couple THEN Survived = Yes,Yes
142,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Adult AND Fare_Group = Medium THEN Survived = Yes,Yes
143,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Adult AND Fare_Group = Low THEN Survived = No,No
144,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Child AND Fare_Group = Medium THEN Survived = Yes,Yes
145,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Child AND Fare_Group = Very_High THEN Survived = No,No
146,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Child AND Fare_Group = Low THEN Survived = Yes,Yes
147,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Child AND Fare_Group = High THEN Survived = Yes,Yes
148,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Young_Adult AND Fare_Group = Medium THEN Survived = Yes,Yes
149,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Young_Adult AND Fare_Group = Low THEN Survived = Yes,Yes
150,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Young_Adult AND Fare_Group = High THEN Survived = No,No
151,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Middle_Age AND Fare_Group = High THEN Survived = Yes,Yes
152,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Middle_Age AND Fare_Group = Medium THEN Survived = No,No
153,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Middle_Age AND Fare_Group = Low THEN Survived = No,No
154,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Elderly THEN Survived = No,No
155,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Alone AND Age_Group = Senior THEN Survived = No,No
156,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Small_Family AND Fare_Group = Very_High AND Embarked = Southampton THEN Survived = No,No
157,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Small_Family AND Fare_Group = Very_High AND Embarked = Cherbourg THEN Survived = Yes,Yes
158,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Small_Family AND Fare_Group = Very_High AND Embarked = Queenstown THEN Survived = Yes,Yes
159,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Small_Family AND Fare_Group = High THEN Survived = Yes,Yes
160,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Small_Family AND Fare_Group = Low THEN Survived = No,No
161,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Medium_Family THEN Survived = No,No
162,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Couple AND Fare_Group = High AND Age_Group = Child THEN Survived = No,No
163,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Couple AND Fare_Group = High AND Age_Group = Young_Adult THEN Survived = No,No
164,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Couple AND Fare_Group = Very_High THEN Survived = Yes,Yes
165,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Couple AND Fare_Group = Medium AND Age_Group = Child THEN Survived = Yes,Yes
166,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Couple AND Fare_Group = Medium AND Age_Group = Adult THEN Survived = No,No
167,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Large_Family AND Fare_Group = Medium THEN Survived = Yes,Yes
168,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Large_Family AND Fare_Group = Luxury AND Sex = female THEN Survived = No,No
169,IF Title_Group = Miss AND Pclass = Third AND Family_Size_Group = Large_Family AND Fare_Group = Super_Luxury THEN Survived = No,No
170,IF Title_Group = Miss AND Pclass = First AND Age_Group = Elderly AND Fare_Group = Luxury AND Embarked = Southampton THEN Survived = Yes,Yes
171,IF Title_Group = Miss AND Pclass = First AND Age_Group = Elderly AND Fare_Group = Luxury AND Embarked = Cherbourg THEN Survived = No,No
172,IF Title_Group = Miss AND Pclass = First AND Age_Group = Elderly AND Fare_Group = Super_Luxury THEN Survived = Yes,Yes
173,IF Title_Group = Miss AND Pclass = First AND Age_Group = Senior THEN Survived = Yes,Yes
174,IF Title_Group = Miss AND Pclass = First AND Age_Group = Young_Adult THEN Survived = Yes,Yes
175,IF Title_Group = Miss AND Pclass = First AND Age_Group = Child AND Family_Size_Group = Small_Family AND Fare_Group = Luxury THEN Survived = Yes,Yes
176,IF Title_Group = Miss AND Pclass = First AND Age_Group = Child AND Family_Size_Group = Small_Family AND Fare_Group = Super_Luxury THEN Survived = Yes,Yes
177,IF Title_Group = Miss AND Pclass = First AND Age_Group = Child AND Family_Size_Group = Medium_Family THEN Survived = Yes,Yes
178,IF Title_Group = Miss AND Pclass = First AND Age_Group = Child AND Family_Size_Group = Couple THEN Survived = Yes,Yes
179,IF Title_Group = Miss AND Pclass = First AND Age_Group = Child AND Family_Size_Group = Alone THEN Survived = Yes,Yes
180,IF Title_Group = Miss AND Pclass = First AND Age_Group = Middle_Age THEN Survived = Yes,Yes
181,IF Title_Group = Miss AND Pclass = First AND Age_Group = Adult THEN Survived = Yes,Yes
182,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Child THEN Survived = Yes,Yes
183,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Young_Adult AND Fare_Group = High AND Sex = female THEN Survived = Yes,Yes
184,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Young_Adult AND Fare_Group = Super_Luxury THEN Survived = Yes,Yes
185,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Middle_Age THEN Survived = Yes,Yes
186,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Senior AND Fare_Group = Very_High THEN Survived = Yes,Yes
187,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Senior AND Fare_Group = High AND Sex = female THEN Survived = Yes,Yes
188,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Elderly THEN Survived = Yes,Yes
189,IF Title_Group = Miss AND Pclass = Second AND Age_Group = Adult THEN Survived = Yes,Yes
190,IF Title_Group = Master AND Family_Size_Group = Medium_Family THEN Survived = No,No
191,IF Title_Group = Master AND Family_Size_Group = Large_Family AND Age_Group = Child AND Sex = male AND Pclass = Third THEN Survived = No,No
192,IF Title_Group = Master AND Family_Size_Group = Large_Family AND Age_Group = Adult THEN Survived = No,No
193,IF Title_Group = Master AND Family_Size_Group = Small_Family THEN Survived = Yes,Yes
194,IF Title_Group = Master AND Family_Size_Group = Couple THEN Survived = Yes,Yes
195,IF Title_Group = Noble AND Fare_Group = Luxury AND Sex = male THEN Survived = No,No
196,IF Title_Group = Noble AND Fare_Group = Luxury AND Sex = female THEN Survived = Yes,Yes
197,IF Title_Group = Noble AND Fare_Group = Super_Luxury THEN Survived = Yes,Yes
198,IF Title_Group = Noble AND Fare_Group = Low THEN Survived = No,No
199,IF Title_Group = Professional AND Pclass = Second THEN Survived = No,No
200,IF Title_Group = Professional AND Pclass = First AND Age_Group = Elderly AND Embarked = Queenstown THEN Survived = No,No
201,IF Title_Group = Professional AND Pclass = First AND Age_Group = Elderly AND Embarked = Southampton AND Fare_Group = Luxury THEN Survived = No,No
202,IF Title_Group = Professional AND Pclass = First AND Age_Group = Elderly AND Embarked = Southampton AND Fare_Group = Super_Luxury THEN Survived = No,No
203,IF Title_Group = Professional AND Pclass = First AND Age_Group = Elderly AND Embarked = Southampton AND Fare_Group = Very_High THEN Survived = Yes,Yes
204,IF Title_Group = Professional AND Pclass = First AND Age_Group = Elderly AND Embarked = Cherbourg THEN Survived = Yes,Yes
205,IF Title_Group = Professional AND Pclass = First AND Age_Group = Middle_Age THEN Survived = Yes,Yes
206,IF Title_Group = Professional AND Pclass = First AND Age_Group = Senior THEN Survived = No,No
207,IF Title_Group = Other THEN Survived = Yes,Yes
